evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,8053,13549,ZrS2,Ga,interstitial,2,0,4,1.852521196202753,0.8180687880894585,-0.02286226411405961,-0.13512958019298021,0.1122673160789206,0.3618392149607339
canonical,CANONICAL — REPAIRED G2 OOF,8054,13550,Re4Se8,Co,interstitial,3,3,4,1.6038662339006777,0.871060558416666,-0.14142394353475385,-5.662161136034022e-16,-0.1414239435347533,0.3676478862762451
canonical,CANONICAL — REPAIRED G2 OOF,8055,13551,SnSe2,N,interstitial,4,0,4,2.419180997928411,1.2333048881688022,0.24732795099684507,0.9237269089981913,-0.6763989580013463,-3.9687042633692426
canonical,CANONICAL — REPAIRED G2 OOF,8056,13552,SnSe2,Cd,adsorbate,4,0,2,2.419180997928411,1.0890268525776023,0.24732795099684507,0.5558163776057969,-0.30848842660895187,-0.03073319446674866
canonical,CANONICAL — REPAIRED G2 OOF,8057,13555,TaS2,Si,adsorbate,0,4,3,0.00010407586548808468,0.8542573481034612,-0.9061170471335233,-0.04284836572730877,-0.8632686814062145,0.09531435012867417
canonical,CANONICAL — REPAIRED G2 OOF,8058,13560,ZrS2,Mn,interstitial,1,0,1,1.852521196202753,0.897194107731093,-0.02286226411405961,0.06664082981198112,-0.08950309392604072,0.3424820105234785
canonical,CANONICAL — REPAIRED G2 OOF,8059,13564,TaS2,As,adsorbate,0,4,4,0.00010407586548808468,0.807382760865409,-0.9061170471335233,-0.16237906372222102,-0.7437379834113023,0.42433675130208326
canonical,CANONICAL — REPAIRED G2 OOF,8060,13566,ZrS2,Ti,interstitial,3,0,3,1.852521196202753,0.7269204198923978,-0.02286226411405961,-0.3675588923992218,0.3446966282851622,0.1989085321034998
canonical,CANONICAL — REPAIRED G2 OOF,8061,13567,SnSe2,Au,adsorbate,3,0,0,2.419180997928411,0.662398674947378,0.24732795099684507,-0.5320900309874064,0.7794179819842515,-0.008806482035635055
canonical,CANONICAL — REPAIRED G2 OOF,8062,13568,SnSe2,Sc,adsorbate,4,0,2,2.419180997928411,1.113002256268307,0.24732795099684507,0.6169539130320997,-0.3696259620352546,-0.2526560624440508
canonical,CANONICAL — REPAIRED G2 OOF,8063,13569,Re4Se8,Na,adsorbate,3,3,4,1.6038662339006777,1.3186422768090078,-0.14142394353475385,1.1413381612834443,-1.282762104818198,-0.28369934075242464
canonical,CANONICAL — REPAIRED G2 OOF,8064,13571,Re4Se8,V,interstitial,3,3,1,1.6038662339006777,0.9443865713378703,-0.14142394353475385,0.18698211594150124,-0.3284060594762551,1.10121210416158
canonical,CANONICAL — REPAIRED G2 OOF,8065,13573,SnSe2,Tc,adsorbate,1,0,4,2.419180997928411,0.6145173754081922,0.24732795099684507,-0.6541878561001205,0.9015158070969655,0.06841880752785778
canonical,CANONICAL — REPAIRED G2 OOF,8066,13574,Re4Se8,K,adsorbate,0,3,0,1.6038662339006777,1.0474386337929054,-0.14142394353475385,0.4497659756160274,-0.5911899191507812,-0.09661978449004771
canonical,CANONICAL — REPAIRED G2 OOF,8067,13575,SnSe2,As,adsorbate,2,0,4,2.419180997928411,0.807382760865409,0.24732795099684507,-0.16237906372222102,0.4097070147190661,0.3050076856614161
canonical,CANONICAL — REPAIRED G2 OOF,8068,13576,TaSe2,W,adsorbate,2,0,3,1.4056901068448444,0.7004961445701594,-0.235916706628235,-0.43494107663556314,0.19902437000732814,0.06244309743245413
canonical,CANONICAL — REPAIRED G2 OOF,8069,13577,TiS2,N,interstitial,1,1,4,1.8205313608422036,1.2333048881688022,-0.03811540271875255,0.9237269089981913,-0.9618423117169439,-1.6855274516330985
canonical,CANONICAL — REPAIRED G2 OOF,8070,13578,TaS2,Cu,interstitial,1,4,4,0.00010407586548808468,0.7571231897640656,-0.9061170471335233,-0.2905415067141809,-0.6155755404193424,-0.12688835461934422
canonical,CANONICAL — REPAIRED G2 OOF,8071,13581,TiS2,Cl,adsorbate,2,1,1,1.8205313608422036,1.366370081682418,-0.03811540271875255,1.2630445733593785,-1.301159976078131,0.8937633959915743
canonical,CANONICAL — REPAIRED G2 OOF,8072,13583,TaS2,Sc,adsorbate,1,4,2,0.00010407586548808468,1.113002256268307,-0.9061170471335233,0.6169539130320997,-1.523070960165623,-0.6180972258249919
canonical,CANONICAL — REPAIRED G2 OOF,8073,13587,Re4Se8,Fe,adsorbate,4,3,4,1.6038662339006777,0.8058456545866038,-0.14142394353475385,-0.16629870114675707,0.024874757612003223,-0.6560867627461748
canonical,CANONICAL — REPAIRED G2 OOF,8074,13591,TiS2,Ir,interstitial,1,1,2,1.8205313608422036,0.5673773703872499,-0.03811540271875255,-0.7743953722755963,0.7362799695568437,0.11743612744085985
canonical,CANONICAL — REPAIRED G2 OOF,8075,13592,TaS2,Sb,adsorbate,4,4,0,0.00010407586548808468,0.6209113496012956,-0.9061170471335233,-0.6378831536313451,-0.2682338935021782,0.03368113025206165
canonical,CANONICAL — REPAIRED G2 OOF,8076,13593,TiS2,Rh,interstitial,3,1,3,1.8205313608422036,0.7459047237303301,-0.03811540271875255,-0.319148714893628,0.2810333121748755,1.425513505935669
canonical,CANONICAL — REPAIRED G2 OOF,8077,13594,TaSe2,Cr,adsorbate,4,0,1,1.4056901068448444,0.9251881178406561,-0.235916706628235,0.13802585451799834,-0.37394256114623337,0.3811023632685344
canonical,CANONICAL — REPAIRED G2 OOF,8078,13595,Re4Se8,P,interstitial,4,3,2,1.6038662339006777,1.3282005769064322,-0.14142394353475385,1.1657119285976556,-1.3071358721324096,-0.22651241058562466
canonical,CANONICAL — REPAIRED G2 OOF,8079,13596,TaS2,Zn,adsorbate,1,4,1,0.00010407586548808468,0.8101900093698571,-0.9061170471335233,-0.15522055005941807,-0.7508964970741052,-0.09131721655527747
canonical,CANONICAL — REPAIRED G2 OOF,8080,13599,TaSe2,Ba,adsorbate,4,0,3,1.4056901068448444,1.1435786611177314,-0.235916706628235,0.694924071900182,-0.930840778528417,0.5741070314285928
canonical,CANONICAL — REPAIRED G2 OOF,8081,13601,TiS2,Ru,adsorbate,3,1,1,1.8205313608422036,0.5893441888992103,-0.03811540271875255,-0.7183797505032371,0.6802643477844845,1.1421027911858948
canonical,CANONICAL — REPAIRED G2 OOF,8082,13602,ZrS2,Fe,adsorbate,0,0,4,1.852521196202753,0.8058456545866038,-0.02286226411405961,-0.16629870114675707,0.14343643703269746,0.08319242652314429
