model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
descriptor:mean,pair_cv,pair_cv5_f1,1,2.31200231596652,3.263296468726673,-0.0705986211247704,,-0.00046825528608551714,2.289808564836638,3.1816679397066743,0.014218576405995583,,-1.997152379273892e-05
descriptor:mean,pair_cv,pair_cv5_f2,1,2.2702647945658208,3.1193675019876173,0.025466614851269442,,-6.665585463627721e-05,2.3123805053017015,3.2632368371892078,-0.0677862677049654,,-0.00043169169725532086
descriptor:mean,pair_cv,pair_cv5_f3,1,2.325681624316471,3.2741663283874827,-0.08837788344501078,,-0.000729125449067336,2.269404950351647,3.1193297882125415,0.020328886974396512,,-4.247399027024201e-05
descriptor:mean,pair_cv,pair_cv5_f4,1,2.2872950467102213,3.168756910623803,0.0745980958524164,,-0.0005545215077071841,2.3277865484566598,3.273828205438925,-0.0748105812255061,,-0.0005224456552073153
descriptor:validation_selected,chemistry_block,chemistry_block_g6x3d,1,0.5478046892353602,0.8502493596793793,-0.00325015228224467,0.9355274620017887,0.9109250806865966,0.6418160664372107,1.0450747337433761,0.2290442313653657,0.8624004560451901,0.8080076577864768
descriptor:validation_selected,dopant_cv,dopant_cv5_f0,1,1.0647044769940368,1.6049585391411372,-0.03167035288649894,0.8329690270511577,0.7423218796084105,1.1118423331230884,1.6011851025166068,-0.11597743949374963,0.8210687973666909,0.7674149842463519
descriptor:validation_selected,dopant_cv,dopant_cv5_f1,1,1.0209124201563213,1.494470672095552,0.33130807024879366,0.8699818945099874,0.7858467639885196,1.208333960707813,1.6868521600130464,0.1250191681100638,0.7981934153393774,0.71535474304747
descriptor:validation_selected,dopant_cv,dopant_cv5_f2,1,1.666002331712335,2.234985667776862,1.1627311706623231,0.6851523366052257,0.49917654876164086,1.337539667994027,1.7857304165900358,0.7968650201186676,0.8436834417257212,0.6942393169007988
descriptor:validation_selected,dopant_cv,dopant_cv5_f3,1,1.19291049916552,1.704296730935806,-0.39551156336916876,0.7917474002889456,0.6698927684946918,1.483916428701482,2.0664294170001942,0.8182679729649754,0.6976069408246068,0.5718693472030589
descriptor:validation_selected,dopant_cv,dopant_cv5_f4,1,1.200666122300966,1.6654143327601292,-0.045260588247385464,0.7833855171704497,0.7483811076051812,1.5273267412201375,2.0206121863749553,-0.42226747632783596,0.6530730951439045,0.5359865682637501
descriptor:validation_selected,host_cv,host_cv5_f0,1,1.493657086042072,2.2529746672304634,0.7754974619516246,0.7060459060895994,0.3394453063312749,1.0508843991937986,1.9574929724972832,0.6403938378565017,0.8243804364974082,0.49896427190512094
descriptor:validation_selected,host_cv,host_cv5_f1,1,1.1129823844147224,1.681479253031333,0.1238348021292521,0.8586733606732183,0.755688663703735,1.4906040730493335,2.1748050525906444,0.459040592428894,0.6754316079300243,0.3844875632700069
descriptor:validation_selected,host_cv,host_cv5_f2,1,1.2159230679643822,2.105350645347028,-0.4208079357407709,0.8552874110196084,0.6279452237061092,1.4148907977606056,2.113404049714137,-0.4024353988934174,0.7970819169608484,0.6140547826912943
descriptor:validation_selected,host_cv,host_cv5_f3,1,1.0860318152355282,1.9338800668732328,-0.5253296012359413,0.8578887891994735,0.6743520675924406,1.124403294527938,1.8211974054115068,-0.2760854541876938,0.8696683286529483,0.7215981899863977
descriptor:validation_selected,host_cv,host_cv5_f4,1,1.0611166387685196,1.937889848108843,0.5251747264385596,0.8201230952667128,0.5089491717492521,1.249415567889836,2.232923728847164,-0.2863146681789181,0.7807402601853108,0.5658527755393123
descriptor:validation_selected,id_cv,id_cv5_f0,1,0.6316989863901805,1.1172617963122644,0.01911344026812519,0.9378064486943692,0.8731516619180334,0.6145259667795199,1.0875916975283286,-0.0019434334722590917,0.9389379067732984,0.8790111837688417
descriptor:validation_selected,id_cv,id_cv5_f1,1,0.610456872924384,1.0505514363432658,-0.008719600850225792,0.9445250232644338,0.8902599876157228,0.6260601422901168,1.113079567755073,0.014794525093216266,0.9414864309429477,0.8740995432851046
descriptor:validation_selected,id_cv,id_cv5_f2,1,0.6541121693217116,1.2014195581129363,0.011178357761803271,0.9454888985633922,0.8683775575056347,0.6035430514047995,1.0299060413966779,-0.01791260671142937,0.9452216211897573,0.8945308187708736
